"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"MF";"MFR";"MFR_NUM";"MPN";"OC_FARNELL";"POPULARITY";"SPICEPREFIX";"VALUE";"VENDOR";"VENDOR_NUM";
"3";"";"1,6/0,8";"1,6/0,8";"PAD1, PAD2, PAD3";"THROUGH-HOLE PAD";"";"";"";"";"";"";"15";"";"";"";"";
"1";"";"LEDSML0603";"SML0603";"LED1";"LED";"";"";"";"";"";"";"17";"";"";"";"";
"1";"0.1uF";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"C";"";"";"";
"1";"100k";"R-100K-1%-0603";"RESC1608X60";"R10";"SMD Resistor";"RES SMD 100K OHM 1% 1/10W 0603 ";"";"Yageo";"RC0603FR-07100KL";"";"";"";"";"100k";"Digi-Key";"311-100KHRCT-ND ";
"1";"239-5849";"DB9_MALE-SLOTS";"DB9_PLUG_SLOT";"J1";"D-SUB Connector - Right Angle";"D-sub Connector - 2.77mm Pitch ";"";"RS Pro";"239-5849";"";"";"";"";"239-5849";"RS-Online";"239-5849";
"2";"4.7uF";"C-4.7UF-10V-X5R-0603";"CAPC1608X85";"C11, C14";"";"CAP CER 4.7UF 10V X5R 0603 ";"";"Samsung Electro-Mechanics";"CL10A475KP8NNNC";"";"unknown";"";"";"4.7uF";"Digi-Key";"1276-1044-1-ND";
"1";"470R";"R-BACKUP-470R-1%-0603";"RESC1608X60";"R1";"SMD Resistor";"RES SMD 470 OHM 1% 1/10W 0603 ";"";"Yageo";"RC0603FR-07470RL";"";"";"";"";"470R";"Digi-Key";"311-470HRCT-ND ";
"1";"5.1k";"R-5.1K-1%-0603";"RESC1608X60";"R8";"SMD Resistor";"RES SMD 5.1K OHM 1% 1/10W 0603 ";"";"Yageo";"RC0603FR-075K1L";"";"";"";"";"5.1k";"Digi-Key";"311-5.10KHRCT-ND ";
"1";"CONN2_05-HEADER";"CONN2_05-HEADER";"2X5_HEADER";"J3";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CONN_02-S2B-PH";"CONN_02-S2B-PH";"S2B-PH-RA";"J4";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DMP2035U-7";"P-MOSFET-DMP2035U-7-SOT323";"SOT95P230X110-3N";"Q1";"P MOSFET";"MOSFET P-CH 20V 3.6A SOT-23";"";"Diodes Incorporated";"DMP2035U-7";"";"";"";"";"DMP2035U-7";"Digi-Key";"DMP2035U-7DICT-ND ";
"1";"FUSE0603";"FUSE0603";"FUSC1607X75N";"F1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LOGO-10MM";"LOGO-10MM";"LOGO_10MM";"U$2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MBR120VLSFT3G";"DIODE-SCHOTTKY-20V-1ASOD-123FL";"SODFL3616X98N";"D3";"Schottky Diode";"Semiconductor  DIODE SCHOTTKY 20V 1A SOD123FL ";"";"On Semiconductor";"MBR120VLSFT3G";"";"";"";"";"MBR120VLSFT3G";"Digi-Key";"MBR120VLSFT3GOSCT-ND ";
"1";"MCP23008/P";"MCP23008/P";"DIL18";"U2";"MCP23008";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP73831";"MCP73831";"SOT23-5P95_270X145L35X35N";"U3";"MCP73831 - Single-Cell, Fully Integrated Li-Ion,Li-Polymer Charge Management Controllers";"Single-Cell, Fully Integrated Li-Ion,Li-Polymer Charge Management Controllers";"";"Microchip";"MCP73831T-2ACI/OT";"";"unknown";"";"";"MCP73831";"DigiKey";"MCP73831T-2ACI/OTCT-ND";
"1";"SDPT";"SLIDE_SWITCH";"OS102011MA1QN1";"S2";"Switch Slide Right Angle SPDT 0.1A 12VDC Through Hole Slide Switch SPDT On-On 0.1 A@ 12 V dc Slide";"Switch Slide Right Angle SPDT 0.1A 12VDC Through Hole Slide Switch SPDT On-On 0.1 A@ 12 V dc Slide";"";"C & K COMPONENTS";"OS102011MA1QN1";"";"";"";"";"SDPT";"RS-ONLINE";"";
"1";"X10_PWR_PCB-X10_PWR_PCB";"X10_PWR_PCB-X10_PWR_PCB";"X10_POWER_PCB";"PCB1";"";"";"";"";"";"";"";"";"";"";"";"";
