REF DESIGNATOR, POS X, POS Y, ROTATION, VALUE, PACKAGE
C1, 11.92, 2.10, 180.00, 0.1uF, C0603
C2, 16.28, 54.99, 90.00, 4.7uF, CAPC1608X85
C3, 10.44, 55.05, 90.00, 4.7uF, CAPC1608X85
D1, 12.87, 47.88, 180.00, MBR120VLSFT3G, SODFL3616X98N
F1, 8.97, 35.14, 180.00, FUSE0603, FUSC1607X75N
LED1, 1.99, 55.65, 180.00, , SML0603
Q1, 12.39, 50.90, 0.00, DMP2035U-7, SOT95P230X110-3N
R1, 2.04, 57.15, 0.00, 470R, RESC1608X60
R2, 16.28, 57.75, 90.00, 5.1k, RESC1608X60
R3, 16.33, 52.12, 90.00, 100k, RESC1608X60
U1, 13.50, 55.00, 0.00, MCP73831, SOT23-5P95_270X145L35X35N
