REF DESIGNATOR, POS X, POS Y, ROTATION, VALUE, PACKAGE
BUZ1, 41.77, 18.10, 270.00, CMT-8530S-SMT, CMT8530SSMTTR
C1, 11.68, 44.01, 90.00, 10nF, CAPC1608X85
C2, 59.63, 52.73, 270.00, 10nF, CAPC1608X85
C3, 14.10, 44.00, 90.00, 10nF, CAPC1608X85
C4, 16.63, 44.00, 90.00, 10nF, CAPC1608X85
C5, 19.18, 43.98, 90.00, 10nF, CAPC1608X85
D1, 32.09, 14.12, 0.00, DIODE-SOD-123, SOD-123
D2, 45.19, 52.48, 270.00, DIODE-SOD-123, SOD-123
Q1, 32.15, 16.81, 270.00, NPN-SOT-23, SOT-23
Q2, 47.65, 52.57, 90.00, NPN-SOT-23, SOT-23
R1, 47.27, 56.49, 0.00, 3.3k, R0603
R10, 23.82, 16.96, 270.00, 390R, R0603
R11, 21.77, 16.96, 270.00, 390R, R0603
R12, 11.67, 40.92, 270.00, 100R, R0603
R13, 14.10, 40.95, 270.00, 100R, R0603
R14, 16.66, 40.91, 270.00, 100R, R0603
R15, 19.18, 40.97, 270.00, 100R, R0603
R16, 21.67, 40.95, 270.00, 100R, R0603
R2, 59.64, 55.68, 270.00, 100k, R0603
R3, 5.06, 17.56, 270.00, 1k, R0603
R4, 7.37, 17.55, 270.00, 1k, R0603
R6, 39.48, 37.85, 180.00, 4.7k, R0603
R7, 42.49, 37.85, 0.00, 4.7k, R0603
R8, 27.92, 16.97, 270.00, 390R, R0603
R9, 25.88, 16.97, 270.00, 390R, R0603
